date,信号数,次日收涨率,可盈利卖出率,平均最大可卖收益,平均次日收盘收益,次日大盘涨跌
2025-09-10,19.0,0.5263157894736842,0.7368421052631579,0.04426210040938519,0.013546752252268266,0.016549412153548326
2025-09-11,149.0,0.44966442953020136,0.9530201342281879,0.033220989621396246,0.004623056979909801,-0.0012153866400365088
2025-09-12,49.0,0.3469387755102041,0.8367346938775511,0.028745517240605166,-0.0059278747049356165,-0.0026094145610499053
2025-09-15,40.0,0.475,0.825,0.02348402381032148,0.004179440553934657,0.000354876311358554
2025-09-16,92.0,0.4782608695652174,0.8369565217391305,0.03470869423215838,0.010866052515124397,0.0037468894602874503
2025-09-17,83.0,0.3132530120481928,0.8433734939759037,0.04050957946890011,-0.009637470324350469,-0.011526336699051232
2025-09-18,5.0,0.0,0.4,-0.06084418940576368,-0.09675283680623784,-0.0030195789814335683
2025-09-19,14.0,0.2857142857142857,0.7142857142857143,0.020693968172915404,0.0010846998299642624,0.0022224607273650943
2025-09-22,67.0,0.29850746268656714,0.7611940298507462,0.016610445588460393,-0.014481208600815122,-0.0017630557543527603
2025-09-23,61.0,0.7868852459016393,0.8852459016393442,0.05759105582068993,0.029564044836378357,0.008323237820625273
2025-09-24,77.0,0.2987012987012987,0.7662337662337663,0.0173862064220274,-0.006309451784367164,-8.82282724903316e-05
2025-09-25,24.0,0.3333333333333333,0.75,0.029150288560716348,-0.012905407227141836,-0.006537253782472163
2025-09-26,3.0,0.3333333333333333,1.0,0.024383415525576286,0.0014198009126737965,0.00899138217031381
2025-09-29,53.0,0.6415094339622641,0.9811320754716981,0.04850436575436935,0.024323989625906952,0.005242677726774891
2025-09-30,70.0,0.6714285714285714,0.9571428571428572,0.05041063279970497,0.021836956047091932,0.013183852806494256
2025-10-09,119.0,0.17647058823529413,0.5294117647058824,0.007934966916659233,-0.02321028976771594,-0.009390005516056184
2025-10-10,22.0,0.5,0.7272727272727273,0.026366251489810512,0.010291299762758605,-0.0019322407063840918
2025-10-13,106.0,0.14150943396226415,0.8679245283018868,0.029342216868740695,-0.0329898680306225,-0.00623987659082148
2025-10-14,12.0,0.16666666666666666,0.75,0.022075182597390164,-0.019545115245859973,0.012154516031387619
2025-10-15,59.0,0.23728813559322035,0.7627118644067796,0.018480102646551803,-0.015436143343659814,0.0010275522019522754
2025-10-16,19.0,0.2631578947368421,0.5789473684210527,0.019433335131564013,-0.028726292177341607,-0.019526432308623276
2025-10-17,2.0,0.5,1.0,0.05053715421065352,0.015008141335424552,0.006284246932099835
2025-10-20,16.0,0.4375,0.8125,0.016235567329414932,-0.0067761510038264194,0.01357181493261983
2025-10-21,31.0,0.41935483870967744,0.8709677419354839,0.022450012018602198,-0.005806839290172736,-0.0006562266203307132
2025-10-22,26.0,0.34615384615384615,0.5384615384615384,0.02021822613836776,-0.010060177208403524,0.0022101508523770796
2025-10-23,28.0,0.6071428571428571,0.75,0.04203320034527231,0.02537027950725404,0.007112973911447273
2025-10-24,98.0,0.5918367346938775,0.9387755102040817,0.03456220626030591,0.009512149836079307,0.01180413689052262
2025-10-27,95.0,0.4,0.7684210526315789,0.01775492272213636,-0.00494723111259054,-0.0021816689767673036
2025-10-28,46.0,0.45652173913043476,0.8043478260869565,0.025547102099808358,0.007816290695736418,0.007048257117210133
2025-10-29,100.0,0.34,0.73,0.023991947807060647,-0.01167743043664874,-0.007327585133691694
2025-10-30,15.0,0.4,0.6666666666666666,0.026815318484653076,-0.008539912528432137,-0.008053876445358599
2025-10-31,69.0,0.5797101449275363,0.8985507246376812,0.02843946940255041,0.007995579432393483,0.0054946027475542
2025-11-03,82.0,0.24390243902439024,0.6829268292682927,0.01714718935492671,-0.013139917200676792,-0.004106605775904493
2025-11-04,22.0,0.5454545454545454,0.6818181818181818,0.02580620179964038,0.007933543674745969,0.002287769021183328
2025-11-05,59.0,0.4576271186440678,0.847457627118644,0.029540098252004928,0.006048714805413776,0.009702084776721076
2025-11-06,32.0,0.53125,0.78125,0.03739671770202246,0.015397717241610733,-0.0025450625785975456
2025-11-07,34.0,0.5,0.9117647058823529,0.03882014557909626,0.0046816158194268095,0.005263210558440701
2025-11-10,40.0,0.35,0.85,0.02353703381302089,-0.004662659212216572,-0.003941671228786081
2025-11-11,36.0,0.25,0.6111111111111112,0.013393798140803511,-0.01581002528277183,-0.0006545483616305914
2025-11-12,32.0,0.34375,0.6875,0.02407235084384042,0.004918188272829659,0.007339743108991215
2025-11-13,44.0,0.3181818181818182,0.7272727272727273,0.024821007512651493,-0.008392897301063858,-0.009681101873681652
