code,name,price,pct,near_high_pct,up6,tail6_gain,14h_gain,last_up,amount_yi,turnover,mcap_yi
002655,共达电声,33.48,4.56,0.20864381520119313,5/6,0.63,1.64,True,8.9,7.47,122.06
002138,顺络电子,52.38,7.12,0.019087612139717523,4/6,0.34,1.18,True,20.1,5.14,422.35
300467,迅游科技,38.15,7.07,0.5992704533611359,5/6,0.1,2.25,True,3.2,5.07,77.52
300113,顺网科技,18.81,4.38,0.42350449973531945,4/6,0.05,1.62,True,7.1,7.67,126.81
300975,商络电子,27.8,4.2,1.1379800853485074,4/6,0.04,0.47,True,15.2,11.19,190.99
300166,东方国信,14.51,4.31,0.887978142076508,4/6,-0.14,0.62,True,10.8,8.34,165.23
688545,兴福电子,89.5,5.17,0.8200354609929023,4/6,-0.22,0.87,True,10.7,6.67,322.2
